votetsai,green,kmt,dpp,pfp,npp,noparty,unify,indep,statusquo,edu,taiwanese,income,age,south,dadmainland,female,econworse,inequality,pubwelf
0,1,0,1,0,0,0,0,1,0,3,1,7,21,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,2,47,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,0,5,1,,29,1,0,1,1,1,0
1,0,1,0,0,0,0,0,0,0,1,1,,65,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1,,83,1,0,1,0,0,1
1,1,0,1,0,0,0,1,0,0,4,1,,36,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,1,,27,1,0,0,1,1,0
1,0,1,0,0,0,0,0,1,0,3,0,10,53,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,3,0,,44,1,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,5,1,4,34,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1,,78,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,4,1,,58,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,0,2,51,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,86,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,1,52,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,63,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,4,40,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,4,1,6,35,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,4,1,,42,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,2,1,1,73,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,4,25,1,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,5,0,7,28,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,2,1,,55,1,0,0,0,1,0
1,1,0,1,0,0,0,0,0,0,3,1,3,49,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,1,10,26,1,0,1,0,1,1
1,1,0,1,0,0,0,1,0,0,1,1,,70,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,1,80,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,,68,1,0,1,1,1,0
